date_time,date,power
22/12/16 21:30,12/22/2016,72.44623842
22/12/16 22:30,12/22/2016,171.4875238
22/12/16 23:30,12/22/2016,42.39616385
23/12/16 0:30,12/23/2016,100.7110428
23/12/16 1:30,12/23/2016,124.2308902
23/12/16 2:30,12/23/2016,104.2704642
23/12/16 3:30,12/23/2016,35.24549217
23/12/16 4:30,12/23/2016,78.35374442
23/12/16 5:30,12/23/2016,143.2976057
23/12/16 6:30,12/23/2016,50.00165415
23/12/16 7:30,12/23/2016,84.11405067
23/12/16 8:30,12/23/2016,70.96728767
23/12/16 9:30,12/23/2016,47.46837779
23/12/16 10:30,12/23/2016,67.23680002
23/12/16 11:30,12/23/2016,86.19282061
23/12/16 12:30,12/23/2016,69.40768453
23/12/16 13:30,12/23/2016,317.1519148
23/12/16 14:30,12/23/2016,318.3134751
23/12/16 15:30,12/23/2016,357.2205127
23/12/16 16:30,12/23/2016,76.65474506
23/12/16 17:30,12/23/2016,181.7801483
23/12/16 18:30,12/23/2016,188.5274074
23/12/16 19:30,12/23/2016,90.55124684
23/12/16 20:30,12/23/2016,66.39201467
23/12/16 21:30,12/23/2016,117.3700764
23/12/16 22:30,12/23/2016,123.4372706
23/12/16 23:30,12/23/2016,83.01508201
26/12/16 0:30,12/26/2016,78.55303733
26/12/16 1:30,12/26/2016,309.1154078
26/12/16 2:30,12/26/2016,154.0148666
26/12/16 3:30,12/26/2016,150.6463996
26/12/16 4:30,12/26/2016,75.72909738
26/12/16 5:30,12/26/2016,83.60829933
26/12/16 6:30,12/26/2016,87.5208627
26/12/16 7:30,12/26/2016,171.5702043
26/12/16 8:30,12/26/2016,113.6971545
26/12/16 9:30,12/26/2016,175.0361022
26/12/16 10:30,12/26/2016,107.5451637
26/12/16 11:30,12/26/2016,300.421108
26/12/16 12:30,12/26/2016,127.8084936
26/12/16 13:30,12/26/2016,167.2042237
26/12/16 14:30,12/26/2016,139.762058
26/12/16 15:30,12/26/2016,222.4018068
26/12/16 16:30,12/26/2016,363.2488942
26/12/16 17:30,12/26/2016,174.1648861
26/12/16 18:30,12/26/2016,127.5731822
26/12/16 19:30,12/26/2016,88.45614398
26/12/16 20:30,12/26/2016,80.28701303
26/12/16 21:30,12/26/2016,108.4931089
26/12/16 22:30,12/26/2016,140.1602717
26/12/16 23:30,12/26/2016,131.3435416
27/12/16 0:30,12/27/2016,82.62478814
27/12/16 1:30,12/27/2016,352.0027886
27/12/16 2:30,12/27/2016,336.0018094
27/12/16 3:30,12/27/2016,118.5864489
27/12/16 4:30,12/27/2016,115.4266315
27/12/16 5:30,12/27/2016,149.7018314
27/12/16 6:30,12/27/2016,109.3132652
27/12/16 7:30,12/27/2016,113.9555845
27/12/16 8:30,12/27/2016,169.3744357
27/12/16 9:30,12/27/2016,2.801756535
11/01/17 5:30,01/11/17,12.59553719
11/01/17 6:30,01/11/17,25.17028234
11/01/17 7:30,01/11/17,84.29040185
11/01/17 8:30,01/11/17,334.5053652
11/01/17 9:30,01/11/17,231.4468709
11/01/17 10:30,01/11/17,113.2505515
11/01/17 11:30,01/11/17,116.7940979
11/01/17 12:30,01/11/17,156.7489548
11/01/17 13:30,01/11/17,205.4108414
11/01/17 14:30,01/11/17,331.4496957
11/01/17 15:30,01/11/17,453.3420814
11/01/17 16:30,01/11/17,360.5967405
11/01/17 17:30,01/11/17,78.18259107
11/01/17 18:30,01/11/17,76.0013606
11/01/17 19:30,01/11/17,109.2137498
11/01/17 20:30,01/11/17,110.9539831
11/01/17 21:30,01/11/17,74.59569456
11/01/17 22:30,01/11/17,60.02378029
11/01/17 23:30,01/11/17,64.90558537
12/01/17 0:30,01/12/17,790.9096068
12/01/17 1:30,01/12/17,1261.958983
12/01/17 2:30,01/12/17,244.8163314
12/01/17 3:30,01/12/17,37.14525035
12/01/17 4:30,01/12/17,60.29110692
12/01/17 5:30,01/12/17,53.51903099
12/01/17 6:30,01/12/17,55.75950881
12/01/17 7:30,01/12/17,22.6299132
12/01/17 8:30,01/12/17,34.36548973
12/01/17 9:30,01/12/17,234.9209537
12/01/17 10:30,01/12/17,124.4947106
12/01/17 11:30,01/12/17,54.84193592
12/01/17 12:30,01/12/17,87.32402273
12/01/17 13:30,01/12/17,148.4110051
12/01/17 14:30,01/12/17,209.126522
12/01/17 15:30,01/12/17,282.8757991
12/01/17 16:30,01/12/17,256.6987559
12/01/17 17:30,01/12/17,114.3390005
12/01/17 18:30,01/12/17,37.55699075
12/01/17 19:30,01/12/17,116.885804
12/01/17 20:30,01/12/17,62.70896952
12/01/17 21:30,01/12/17,63.61505048
12/01/17 22:30,01/12/17,55.64973879
12/01/17 23:30,01/12/17,28.04246333
13/01/17 0:30,01/13/2017,421.5136739
13/01/17 1:30,01/13/2017,360.4260085
13/01/17 2:30,01/13/2017,62.1360861
13/01/17 3:30,01/13/2017,43.44973353
13/01/17 4:30,01/13/2017,32.08166935
13/01/17 5:30,01/13/2017,38.86513439
13/01/17 6:30,01/13/2017,34.74760429
13/01/17 7:30,01/13/2017,48.95344091
13/01/17 8:30,01/13/2017,307.2478262
13/01/17 9:30,01/13/2017,66.72980118
13/01/17 10:30,01/13/2017,78.48818329
13/01/17 11:30,01/13/2017,94.60256505
13/01/17 12:30,01/13/2017,133.2747311
13/01/17 13:30,01/13/2017,132.2937389
13/01/17 14:30,01/13/2017,169.0115606
13/01/17 15:30,01/13/2017,179.2771644
13/01/17 16:30,01/13/2017,246.0757524
13/01/17 17:30,01/13/2017,127.8865183
13/01/17 18:30,01/13/2017,53.36770371
13/01/17 19:30,01/13/2017,28.80121892
13/01/17 20:30,01/13/2017,45.49317963
13/01/17 21:30,01/13/2017,50.063981
13/01/17 22:30,01/13/2017,50.55202554
13/01/17 23:30,01/13/2017,38.51824848
16/01/17 0:30,01/16/2017,435.127893
16/01/17 1:30,01/16/2017,170.8265189
16/01/17 2:30,01/16/2017,132.958209
16/01/17 3:30,01/16/2017,103.6481304
16/01/17 4:30,01/16/2017,64.31629297
16/01/17 5:30,01/16/2017,65.71051097
16/01/17 6:30,01/16/2017,35.32843091
16/01/17 7:30,01/16/2017,57.31932173
16/01/17 8:30,01/16/2017,88.61634696
16/01/17 9:30,01/16/2017,58.20686613
16/01/17 10:30,01/16/2017,58.18265513
16/01/17 11:30,01/16/2017,49.72945327
16/01/17 12:30,01/16/2017,68.59735853
16/01/17 13:30,01/16/2017,195.5089102
16/01/17 14:30,01/16/2017,167.5238305
16/01/17 15:30,01/16/2017,127.8408851
16/01/17 16:30,01/16/2017,151.3247092
16/01/17 17:30,01/16/2017,115.1101243
16/01/17 18:30,01/16/2017,106.3446546
16/01/17 19:30,01/16/2017,109.0113975
16/01/17 20:30,01/16/2017,115.6719311
16/01/17 21:30,01/16/2017,67.71972555
16/01/17 22:30,01/16/2017,60.41836802
16/01/17 23:30,01/16/2017,46.90865904
17/01/17 0:30,01/17/2017,431.3953543
17/01/17 1:30,01/17/2017,194.9458896
17/01/17 2:30,01/17/2017,173.4683705
17/01/17 3:30,01/17/2017,38.89604163
17/01/17 4:30,01/17/2017,38.40759547
17/01/17 5:30,01/17/2017,48.36617657
17/01/17 6:30,01/17/2017,41.49384325
17/01/17 7:30,01/17/2017,25.434341
20/01/17 10:30,01/20/2017,27.62766947
20/01/17 11:30,01/20/2017,77.37929986
20/01/17 12:30,01/20/2017,99.6720494
20/01/17 13:30,01/20/2017,268.3647163
20/01/17 14:30,01/20/2017,295.6660127
20/01/17 15:30,01/20/2017,255.8125083
20/01/17 16:30,01/20/2017,169.8950501
20/01/17 17:30,01/20/2017,92.58145131
20/01/17 18:30,01/20/2017,90.23343069
20/01/17 19:30,01/20/2017,83.92198107
20/01/17 20:30,01/20/2017,72.57822046
20/01/17 21:30,01/20/2017,178.4358641
20/01/17 22:30,01/20/2017,159.2560695
20/01/17 23:30,01/20/2017,127.7067593
23/01/17 0:30,01/23/2017,1506.558435
23/01/17 1:30,01/23/2017,1639.46568
23/01/17 2:30,01/23/2017,517.8772347
23/01/17 3:30,01/23/2017,384.1897634
23/01/17 4:30,01/23/2017,428.6204178
23/01/17 5:30,01/23/2017,316.7117026
23/01/17 6:30,01/23/2017,1476.514743
23/01/17 7:30,01/23/2017,623.3127418
23/01/17 8:30,01/23/2017,966.0822633
23/01/17 9:30,01/23/2017,535.8400126
23/01/17 10:30,01/23/2017,534.4797902
23/01/17 11:30,01/23/2017,560.2035441
23/01/17 12:30,01/23/2017,687.4075372
23/01/17 13:30,01/23/2017,950.8977433
23/01/17 14:30,01/23/2017,684.6592357
23/01/17 15:30,01/23/2017,657.4857393
23/01/17 16:30,01/23/2017,716.3082022
23/01/17 17:30,01/23/2017,262.0331707
23/01/17 18:30,01/23/2017,269.0366274
23/01/17 19:30,01/23/2017,275.3487282
23/01/17 20:30,01/23/2017,268.8236481
23/01/17 21:30,01/23/2017,264.7456226
23/01/17 22:30,01/23/2017,262.6122846
23/01/17 23:30,01/23/2017,241.087877
24/01/17 0:30,01/24/2017,1670.569927
24/01/17 1:30,01/24/2017,497.4171967
24/01/17 2:30,01/24/2017,1198.935897
24/01/17 3:30,01/24/2017,166.9754305
24/01/17 4:30,01/24/2017,328.6659082
24/01/17 5:30,01/24/2017,436.2616881
24/01/17 6:30,01/24/2017,270.8917047
24/01/17 7:30,01/24/2017,193.6676656
24/01/17 8:30,01/24/2017,1398.225534
24/01/17 9:30,01/24/2017,291.0407022
24/01/17 10:30,01/24/2017,417.6508596
24/01/17 11:30,01/24/2017,490.2464566
24/01/17 12:30,01/24/2017,513.0472795
24/01/17 13:30,01/24/2017,690.9208787
24/01/17 14:30,01/24/2017,646.1324589
24/01/17 15:30,01/24/2017,770.7999993
24/01/17 16:30,01/24/2017,479.9746425
24/01/17 17:30,01/24/2017,300.5891281
24/01/17 18:30,01/24/2017,262.2508695
24/01/17 19:30,01/24/2017,259.4586239
24/01/17 20:30,01/24/2017,267.7768315
24/01/17 21:30,01/24/2017,446.4772591
24/01/17 22:30,01/24/2017,97.69125462
30/01/17 12:30,01/30/2017,433.2429397
30/01/17 13:30,01/30/2017,717.0227597
30/01/17 14:30,01/30/2017,878.6587198
