,date_time,date,power
111,22/12/16 11:30,12/22/2016,86.28329352
112,22/12/16 12:30,12/22/2016,136.7905348
113,22/12/16 13:30,12/22/2016,190.9537287
114,22/12/16 14:30,12/22/2016,172.3481215
115,22/12/16 15:30,12/22/2016,227.5152916
116,22/12/16 16:30,12/22/2016,175.4124836
117,22/12/16 17:30,12/22/2016,131.447262
118,22/12/16 18:30,12/22/2016,124.5415578
119,22/12/16 19:30,12/22/2016,68.39097613
120,22/12/16 20:30,12/22/2016,81.10256249
121,22/12/16 21:30,12/22/2016,72.44623842
122,22/12/16 22:30,12/22/2016,171.4875238
123,22/12/16 23:30,12/22/2016,42.39616385
124,23/12/16 0:30,12/23/2016,100.7110428
125,23/12/16 1:30,12/23/2016,124.2308902
126,23/12/16 2:30,12/23/2016,104.2704642
127,23/12/16 3:30,12/23/2016,35.24549217
128,23/12/16 4:30,12/23/2016,78.35374442
129,23/12/16 5:30,12/23/2016,143.2976057
130,23/12/16 6:30,12/23/2016,50.00165415
131,23/12/16 7:30,12/23/2016,84.11405067
132,23/12/16 8:30,12/23/2016,70.96728767
133,23/12/16 9:30,12/23/2016,47.46837779
134,23/12/16 10:30,12/23/2016,67.23680002
135,23/12/16 11:30,12/23/2016,86.19282061
136,23/12/16 12:30,12/23/2016,69.40768453
137,23/12/16 13:30,12/23/2016,317.1519148
138,23/12/16 14:30,12/23/2016,318.3134751
139,23/12/16 15:30,12/23/2016,357.2205127
140,23/12/16 16:30,12/23/2016,76.65474506
141,23/12/16 17:30,12/23/2016,181.7801483
142,23/12/16 18:30,12/23/2016,188.5274074
143,23/12/16 19:30,12/23/2016,90.55124684
144,23/12/16 20:30,12/23/2016,66.39201467
145,23/12/16 21:30,12/23/2016,117.3700764
146,23/12/16 22:30,12/23/2016,123.4372706
147,23/12/16 23:30,12/23/2016,83.01508201
148,26/12/16 0:30,12/26/2016,78.55303733
149,26/12/16 1:30,12/26/2016,309.1154078
150,26/12/16 2:30,12/26/2016,154.0148666
151,26/12/16 3:30,12/26/2016,150.6463996
152,26/12/16 4:30,12/26/2016,75.72909738
153,26/12/16 5:30,12/26/2016,83.60829933
154,26/12/16 6:30,12/26/2016,87.5208627
155,26/12/16 7:30,12/26/2016,171.5702043
156,26/12/16 8:30,12/26/2016,113.6971545
157,26/12/16 9:30,12/26/2016,175.0361022
158,26/12/16 10:30,12/26/2016,107.5451637
159,26/12/16 11:30,12/26/2016,300.421108
160,26/12/16 12:30,12/26/2016,127.8084936
161,26/12/16 13:30,12/26/2016,167.2042237
162,26/12/16 14:30,12/26/2016,139.762058
163,26/12/16 15:30,12/26/2016,222.4018068
164,26/12/16 16:30,12/26/2016,363.2488942
165,26/12/16 17:30,12/26/2016,174.1648861
166,26/12/16 18:30,12/26/2016,127.5731822
167,26/12/16 19:30,12/26/2016,88.45614398
168,26/12/16 20:30,12/26/2016,80.28701303
169,26/12/16 21:30,12/26/2016,108.4931089
170,26/12/16 22:30,12/26/2016,140.1602717
171,26/12/16 23:30,12/26/2016,131.3435416
172,27/12/16 0:30,12/27/2016,82.62478814
173,27/12/16 1:30,12/27/2016,352.0027886
174,27/12/16 2:30,12/27/2016,336.0018094
175,27/12/16 3:30,12/27/2016,118.5864489
176,27/12/16 4:30,12/27/2016,115.4266315
177,27/12/16 5:30,12/27/2016,149.7018314
178,27/12/16 6:30,12/27/2016,109.3132652
179,27/12/16 7:30,12/27/2016,113.9555845
180,27/12/16 8:30,12/27/2016,169.3744357
181,27/12/16 9:30,12/27/2016,2.801756535
182,11/01/17 5:30,01/11/17,12.59553719
183,11/01/17 6:30,01/11/17,25.17028234
184,11/01/17 7:30,01/11/17,84.29040185
185,11/01/17 8:30,01/11/17,334.5053652
186,11/01/17 9:30,01/11/17,231.4468709
187,11/01/17 10:30,01/11/17,113.2505515
188,11/01/17 11:30,01/11/17,116.7940979
189,11/01/17 12:30,01/11/17,156.7489548
190,11/01/17 13:30,01/11/17,205.4108414
191,11/01/17 14:30,01/11/17,331.4496957
192,11/01/17 15:30,01/11/17,453.3420814
193,11/01/17 16:30,01/11/17,360.5967405
194,11/01/17 17:30,01/11/17,78.18259107
195,11/01/17 18:30,01/11/17,76.0013606
196,11/01/17 19:30,01/11/17,109.2137498
197,11/01/17 20:30,01/11/17,110.9539831
198,11/01/17 21:30,01/11/17,74.59569456
199,11/01/17 22:30,01/11/17,60.02378029
200,11/01/17 23:30,01/11/17,64.90558537
201,12/01/17 0:30,01/12/17,790.9096068
202,12/01/17 1:30,01/12/17,1261.958983
203,12/01/17 2:30,01/12/17,244.8163314
204,12/01/17 3:30,01/12/17,37.14525035
205,12/01/17 4:30,01/12/17,60.29110692
206,12/01/17 5:30,01/12/17,53.51903099
207,12/01/17 6:30,01/12/17,55.75950881
208,12/01/17 7:30,01/12/17,22.6299132
209,12/01/17 8:30,01/12/17,34.36548973
210,12/01/17 9:30,01/12/17,234.9209537
211,12/01/17 10:30,01/12/17,124.4947106
212,12/01/17 11:30,01/12/17,54.84193592
213,12/01/17 12:30,01/12/17,87.32402273
214,12/01/17 13:30,01/12/17,148.4110051
215,12/01/17 14:30,01/12/17,209.126522
216,12/01/17 15:30,01/12/17,282.8757991
217,12/01/17 16:30,01/12/17,256.6987559
218,12/01/17 17:30,01/12/17,114.3390005
219,12/01/17 18:30,01/12/17,37.55699075
220,12/01/17 19:30,01/12/17,116.885804
221,12/01/17 20:30,01/12/17,62.70896952
222,12/01/17 21:30,01/12/17,63.61505048
223,12/01/17 22:30,01/12/17,55.64973879
224,12/01/17 23:30,01/12/17,28.04246333
225,13/01/17 0:30,01/13/2017,421.5136739
226,13/01/17 1:30,01/13/2017,360.4260085
227,13/01/17 2:30,01/13/2017,62.1360861
228,13/01/17 3:30,01/13/2017,43.44973353
229,13/01/17 4:30,01/13/2017,32.08166935
230,13/01/17 5:30,01/13/2017,38.86513439
231,13/01/17 6:30,01/13/2017,34.74760429
232,13/01/17 7:30,01/13/2017,48.95344091
233,13/01/17 8:30,01/13/2017,307.2478262
234,13/01/17 9:30,01/13/2017,66.72980118
235,13/01/17 10:30,01/13/2017,78.48818329
236,13/01/17 11:30,01/13/2017,94.60256505
237,13/01/17 12:30,01/13/2017,133.2747311
238,13/01/17 13:30,01/13/2017,132.2937389
239,13/01/17 14:30,01/13/2017,169.0115606
240,13/01/17 15:30,01/13/2017,179.2771644
241,13/01/17 16:30,01/13/2017,246.0757524
242,13/01/17 17:30,01/13/2017,127.8865183
243,13/01/17 18:30,01/13/2017,53.36770371
244,13/01/17 19:30,01/13/2017,28.80121892
245,13/01/17 20:30,01/13/2017,45.49317963
246,13/01/17 21:30,01/13/2017,50.063981
247,13/01/17 22:30,01/13/2017,50.55202554
248,13/01/17 23:30,01/13/2017,38.51824848
249,16/01/17 0:30,01/16/2017,435.127893
250,16/01/17 1:30,01/16/2017,170.8265189
251,16/01/17 2:30,01/16/2017,132.958209
252,16/01/17 3:30,01/16/2017,103.6481304
253,16/01/17 4:30,01/16/2017,64.31629297
254,16/01/17 5:30,01/16/2017,65.71051097
255,16/01/17 6:30,01/16/2017,35.32843091
256,16/01/17 7:30,01/16/2017,57.31932173
257,16/01/17 8:30,01/16/2017,88.61634696
258,16/01/17 9:30,01/16/2017,58.20686613
259,16/01/17 10:30,01/16/2017,58.18265513
260,16/01/17 11:30,01/16/2017,49.72945327
261,16/01/17 12:30,01/16/2017,68.59735853
262,16/01/17 13:30,01/16/2017,195.5089102
263,16/01/17 14:30,01/16/2017,167.5238305
264,16/01/17 15:30,01/16/2017,127.8408851
265,16/01/17 16:30,01/16/2017,151.3247092
266,16/01/17 17:30,01/16/2017,115.1101243
267,16/01/17 18:30,01/16/2017,106.3446546
268,16/01/17 19:30,01/16/2017,109.0113975
269,16/01/17 20:30,01/16/2017,115.6719311
270,16/01/17 21:30,01/16/2017,67.71972555
271,16/01/17 22:30,01/16/2017,60.41836802
272,16/01/17 23:30,01/16/2017,46.90865904
273,17/01/17 0:30,01/17/2017,431.3953543
274,17/01/17 1:30,01/17/2017,194.9458896
275,17/01/17 2:30,01/17/2017,173.4683705
276,17/01/17 3:30,01/17/2017,38.89604163
277,17/01/17 4:30,01/17/2017,38.40759547
278,17/01/17 5:30,01/17/2017,48.36617657
279,17/01/17 6:30,01/17/2017,41.49384325
280,17/01/17 7:30,01/17/2017,25.434341
281,20/01/17 10:30,01/20/2017,27.62766947
282,20/01/17 11:30,01/20/2017,77.37929986
283,20/01/17 12:30,01/20/2017,99.6720494
284,20/01/17 13:30,01/20/2017,268.3647163
285,20/01/17 14:30,01/20/2017,295.6660127
286,20/01/17 15:30,01/20/2017,255.8125083
287,20/01/17 16:30,01/20/2017,169.8950501
288,20/01/17 17:30,01/20/2017,92.58145131
289,20/01/17 18:30,01/20/2017,90.23343069
290,20/01/17 19:30,01/20/2017,83.92198107
291,20/01/17 20:30,01/20/2017,72.57822046
292,20/01/17 21:30,01/20/2017,178.4358641
293,20/01/17 22:30,01/20/2017,159.2560695
294,20/01/17 23:30,01/20/2017,127.7067593
295,23/01/17 0:30,01/23/2017,1506.558435
296,23/01/17 1:30,01/23/2017,1639.46568
297,23/01/17 2:30,01/23/2017,517.8772347
298,23/01/17 3:30,01/23/2017,384.1897634
299,23/01/17 4:30,01/23/2017,428.6204178
300,23/01/17 5:30,01/23/2017,316.7117026
301,23/01/17 6:30,01/23/2017,1476.514743
302,23/01/17 7:30,01/23/2017,623.3127418
303,23/01/17 8:30,01/23/2017,966.0822633
304,23/01/17 9:30,01/23/2017,535.8400126
305,23/01/17 10:30,01/23/2017,534.4797902
306,23/01/17 11:30,01/23/2017,560.2035441
307,23/01/17 12:30,01/23/2017,687.4075372
308,23/01/17 13:30,01/23/2017,950.8977433
309,23/01/17 14:30,01/23/2017,684.6592357
310,23/01/17 15:30,01/23/2017,657.4857393
311,23/01/17 16:30,01/23/2017,716.3082022
312,23/01/17 17:30,01/23/2017,262.0331707
313,23/01/17 18:30,01/23/2017,269.0366274
314,23/01/17 19:30,01/23/2017,275.3487282
315,23/01/17 20:30,01/23/2017,268.8236481
316,23/01/17 21:30,01/23/2017,264.7456226
317,23/01/17 22:30,01/23/2017,262.6122846
318,23/01/17 23:30,01/23/2017,241.087877
319,24/01/17 0:30,01/24/2017,1670.569927
320,24/01/17 1:30,01/24/2017,497.4171967
321,24/01/17 2:30,01/24/2017,1198.935897
322,24/01/17 3:30,01/24/2017,166.9754305
323,24/01/17 4:30,01/24/2017,328.6659082
324,24/01/17 5:30,01/24/2017,436.2616881
325,24/01/17 6:30,01/24/2017,270.8917047
326,24/01/17 7:30,01/24/2017,193.6676656
327,24/01/17 8:30,01/24/2017,1398.225534
328,24/01/17 9:30,01/24/2017,291.0407022
329,24/01/17 10:30,01/24/2017,417.6508596
330,24/01/17 11:30,01/24/2017,490.2464566
331,24/01/17 12:30,01/24/2017,513.0472795
332,24/01/17 13:30,01/24/2017,690.9208787
333,24/01/17 14:30,01/24/2017,646.1324589
334,24/01/17 15:30,01/24/2017,770.7999993
335,24/01/17 16:30,01/24/2017,479.9746425
336,24/01/17 17:30,01/24/2017,300.5891281
337,24/01/17 18:30,01/24/2017,262.2508695
338,24/01/17 19:30,01/24/2017,259.4586239
339,24/01/17 20:30,01/24/2017,267.7768315
340,24/01/17 21:30,01/24/2017,446.4772591
341,24/01/17 22:30,01/24/2017,97.69125462
342,30/01/17 12:30,01/30/2017,433.2429397
343,30/01/17 13:30,01/30/2017,717.0227597
344,30/01/17 14:30,01/30/2017,878.6587198
345,30/01/17 15:30,01/30/2017,987.5183599
346,30/01/17 16:30,01/30/2017,1159.148453
347,30/01/17 17:30,01/30/2017,530.5990429
