TS,V1,V2,V3,W1,W2,W3,Virtual_Apartment,date_time,day,date,time,power
1481866200,229.1786315,232.4708113,231.1039285,3.247847522,11.2848681,47.89607531,3,16/12/16 5:30,3,12/16/2016,5:30:00,62.42879093
1481869800,231.4415239,233.4069886,232.386343,0,0,31.17480443,3,16/12/16 6:30,3,12/16/2016,6:30:00,31.17480443
1481873400,236.0394853,237.8429105,237.2177629,16.00653561,1.361049658,38.37978057,3,16/12/16 7:30,3,12/16/2016,7:30:00,55.74736584
1481877000,233.3061732,235.6220406,233.9782949,74.1737232,9.630975542,74.7493419,3,16/12/16 8:30,3,12/16/2016,8:30:00,158.5540406
1481880600,233.1060948,235.4640024,233.6246703,0,0,83.95370982,3,16/12/16 9:30,3,12/16/2016,9:30:00,83.95370982
1481884200,235.434897,236.7666734,234.8303214,0,0,4.183576202,3,16/12/16 10:30,3,12/16/2016,10:30:00,4.183576202
1482147000,234.9887404,237.0923215,235.5406212,0,34.84696225,32.11612993,3,19/12/16 11:30,4,12/19/2016,11:30:00,66.96309218
1482150600,233.2782817,236.5808338,233.961266,0,74.98315632,117.878726,3,19/12/16 12:30,4,12/19/2016,12:30:00,192.8618823
1482154200,236.0211335,239.0222551,236.4567488,135.0630505,34.24111503,199.3296799,3,19/12/16 13:30,4,12/19/2016,13:30:00,368.6338454
1482157800,237.9932281,241.3739365,239.6664897,65.5953691,41.34212315,175.2899063,3,19/12/16 14:30,4,12/19/2016,14:30:00,282.2273985
1482161400,239.7026988,244.3339306,241.3836444,188.3376366,3.078002208,215.8157639,3,19/12/16 15:30,4,12/19/2016,15:30:00,407.2314026
1482165000,238.938111,242.7653366,240.5059003,29.45721881,39.50158675,144.2244892,3,19/12/16 16:30,4,12/19/2016,16:30:00,213.1832947
1482168600,240.6787157,244.5854203,241.7337722,25.6268809,38.1515265,46.52662552,3,19/12/16 17:30,4,12/19/2016,17:30:00,110.3050329
1482172200,239.0299447,242.1393998,239.6139328,25.07594995,37.61329052,40.42046519,3,19/12/16 18:30,4,12/19/2016,18:30:00,103.1097057
1482175800,240.4448843,243.5675849,240.462558,24.69493211,37.00422078,81.95756893,3,19/12/16 19:30,4,12/19/2016,19:30:00,143.6567218
1482179400,238.7007766,242.3815145,239.0341518,19.01050564,28.42104797,56.2469863,3,19/12/16 20:30,4,12/19/2016,20:30:00,103.6785399
1482183000,239.8166977,243.7056896,239.945829,25.22036244,37.47300632,54.89642751,3,19/12/16 21:30,4,12/19/2016,21:30:00,117.5897963
1482186600,240.2067592,243.332789,240.0323948,25.04988527,36.90855101,30.58599915,3,19/12/16 22:30,4,12/19/2016,22:30:00,92.54443542
